Afghanistan,
Albania,
Algeria,
American Samoa,
Andorra,
Angola,
Anguilla,
Antarctica,
Antigua and Barbuda,
Argentina,
Armenia,
Aruba,
Australia,
Austria,
Azerbaijan,
Bahamas,
Bahrain,
Bangladesh,
Barbados,
Belarus,
Belgium,
Belize,
Benin,
Bermuda,
Bhutan,
Bolivia,Plurinational State of Bolivia
Caribbean Netherlands,
Bosnia and Herzegovina,
Botswana,
Bouvet Island,
Brazil,
British Indian Ocean Territory,
Brunei Darussalam,
Bulgaria,
Burkina Faso,
Burundi,
Cabo Verde,
Cambodia,
Cameroon,
Canada,
Cayman Islands,
Central African Republic,
Chad,
Chile,
China,
Christmas Island,
Cocos (Keeling) Islands,
Colombia,
Comoros,
"Congo, ",Democratic Republic of the Congo
Cook Islands,
Costa Rica,
Ivory Coast,Côte d'Ivoire
Croatia,
Cuba,
Curaçao,
Cyprus,
Czechia,Czech Republic
Denmark,
Djibouti,
Dominica,
Dominican Republic,
Ecuador,
Egypt,
El Salvador,
Equatorial Guinea,
Eritrea,
Estonia,
Eswatini,
Ethiopia,
Falkland Islands,Malvinas
Faroe Islands,
Fiji,
Finland,
France,
French Guiana,
French Polynesia,
French Southern Territories,
Gabon,
Gambia,
Georgia,
Germany,
Ghana,
Gibraltar,
Greece,
Greenland,
Grenada,
Guadeloupe,
Guam,
Guatemala,
Guernsey,
Guinea,
Guinea-Bissau,
Guyana,
Haiti,
Heard Island and McDonald Islands,
Holy See,
Honduras,
Hong Kong,
Hungary,
Iceland,
India,
Indonesia,
Iran,Islamic Republic of Iran
Iraq,
Ireland,
Isle of Man,
Israel,
Italy,
Jamaica,
Japan,
Jersey,
Jordan,
Kazakhstan,
Kenya,
Kiribati,
North Korea,Democratic People's Republic of Korea
South Korea,Republic of Korea
Kuwait,
Kyrgyzstan,
Lao,People's Democratic Republic of Lao
Latvia,
Lebanon,
Lesotho,
Liberia,
Libya,
Liechtenstein,
Lithuania,
Luxembourg,
Macao,
Madagascar,
Malawi,
Malaysia,
Maldives,
Mali,
Malta,
Marshall Islands,
Martinique,
Mauritania,
Mauritius,
Mayotte,
Mexico,
Micronesia,Federated States of Micronesia
Moldova,Republic of Moldova
Monaco,
Mongolia,
Montenegro,
Montserrat,
Morocco,
Mozambique,
Myanmar,
Namibia,
Nauru,
Nepal,
Netherlands,
New Caledonia,
New Zealand,
Nicaragua,
Niger,
Nigeria,
Niue,
Norfolk Island,
North Macedonia,
Northern Mariana Islands,
Norway,
Oman,
Pakistan,
Palau,
Palestine,State of Palestine
Panama,
Papua New Guinea,
Paraguay,
Peru,
Philippines,
Pitcairn,
Poland,
Portugal,
Puerto Rico,
Qatar,
Romania,
Russian Federation,
Rwanda,
Saint Barthélemy,
Saint Helena,Ascension and Tristan da Cunha
Saint Kitts and Nevis,
Saint Lucia,
Saint Martin,
Saint Pierre and Miquelon,
Saint Vincent and the Grenadines,
Samoa,
San Marino,
Sao Tome and Principe,
Saudi Arabia,
Senegal,
Serbia,
Seychelles,
Sierra Leone,
Singapore,
Sint Maarten,
Slovakia,
Slovenia,
Solomon Islands,
Somalia,
South Africa,
South Georgia and the South Sandwich Islands,
South Sudan,
Spain,
Sri Lanka,
Sudan,
Suriname,
Svalbard and Jan Mayen,
Sweden,
Switzerland,
Syrian Arab Republic,
Taiwan,
Tajikistan,
Tanzania,United Republic of Tanzania
Thailand,
Timor-Leste,
Togo,
Tokelau,
Tonga,
Trinidad and Tobago,
Tunisia,
Turkey,Türkiye
Turkmenistan,
Turks and Caicos Islands,
Tuvalu,
Uganda,
Ukraine,
United Arab Emirates,UAE
United Kingdom,UK;Great Britain;United Kingdom of Great Britain and Northern Ireland
United States of America,US;USA
United States Minor Outlying Islands,
Uruguay,
Uzbekistan,
Vanuatu,
Venezuela,Bolivarian Republic of Venezuela
Viet Nam,
Virgin Islands (British),
Virgin Islands (U.S.),
Wallis and Futuna,
Western Sahara,
Yemen,
Zambia,
Zimbabwe,
